"2924","subrat2014","India","Pune","False","c++","0 ","0 ","0 ","NA","NA","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2925","manumeral_80","India","Kolkata","True","c++","8321.07 ","1259.6 ","1034.42 ","1531 / 1106","7267 / 5404","8462 / 6894",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2926","divyambansal",,,"True","c++","536.84 ","2022.51 ","0 ","38873 / 30058","1792 / 1200","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2927","chanakya27",,,"True","c++","2211.14 ","877.12 ","0 ","15018 / 11663","15825 / 12503","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2928","akulgoel96","India","Noida","True","c++","7693.72 ","2534.55 ","1999.8 ","1977 / 1452","774 / 459","735 / 503",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2929","roshi",,,"True","c++","-1225.93 ","0 ","1006.35 ","68601 / 55571","NA","9042 / 7396",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2930","dush22","India","Dehradun","True","c++","4764.95 ","956.06 ","1079.67 ","5796 / 4498","13423 / 10462","7624 / 6169",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2931","neil_812",,,"True","c++","6332.97 ","2599.73 ","1142.76 ","3300 / 8","691 / 7","6531 / 17",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2932","shaleen",,,"False","c++","5088.37 ","1638.24 ","0 ","5146 / 3981","3445 / 2436","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2933","knapsack",,,"True","c++","1999.22 ","973.61 ","0 ","16699 / 12997","12992 / 10091","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2934","argos","Russia","Moscow","False","c++","25977.34 ","5538.74 ","1391.3 ","9 / 1","27 / 5","3448 / 44",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2935","redouane","Algeria","Jijel","True","ruby","-497.74 ","551.97 ","823.85 ","57799 / 5","25167 / 2","13310 / 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2936","shikharid","India","Mumbai","False","c++","13598.11 ","2256.63 ","2138.69 ","73 / 21","1232 / 780","520 / 336",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2937","swissknife007","India","New Delhi","True","c++","2928.4 ","2532.04 ","1915.32 ","11181 / 8714","777 / 461","913 / 642",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2938","n2n22",,,"True","c++","-684.39 ","0 ","0 ","61261 / 49012","NA","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2939","rgaut_89","United States","Mountain View","False","c++","1873.27 ","908.02 ","0 ","17846 / 432","14774 / 368","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2940","kutengine","North Korea","Pyongyang","True","c++","32303.98 ","5156.28 ","3270.9 ","7 / 3","33 / 1","47 / 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2941","urdarinda","India","Allahabad","True","c++","4037.5 ","553.59 ","1020.06 ","7407 / 5795","25088 / 20851","8749 / 7142",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2942","smaurya73","India","Madurai","False","c++","-315.54 ","777.3 ","0 ","54835 / 43398","19062 / 15350","NA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2943","rick93",,,"True","c++","-982.65 ","901.27 ","969.94 ","65807 / 53035","15125 / 11892","9906 / 8177",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2944","ubergeek","India","Hyderabad","False","c++","5014.93 ","1110.26 ","1199.41 ","5293 / 4106","9743 / 7397","5650 / 4471",NULL,NULL,NULL,NULL,NULL,NULL,NULL
