are,is,a,the,of,that,and,in,toare,is,a,the,of,that,and,in,to,sub_size,time_limit,class
1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,5,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,645,3,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,4,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1
0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,5,3,0
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,34,2,1
